DscComponenteTarifarioTraduzido,media,mediana,desvio_padrao,min,max,n_registros,zeros,unidade
Tarifa de Energia,"98,79","102,80","83,16",0,"374,05",13.660,4.329,MWH
TE - Custo de Geração,"79,02","76,13","75,93",0,"318,03",12.824,3.762,MWH
Tarifa de Uso do Sistema de Distribuição,"58,43","24,40","74,30",0,"318,57",12.326,3.173,MWH
TUSD - Custos de Distribuição,"22,12","0,00","42,41",0,"169,85",12.243,9.152,MWH
TUSD - Perdas Técnicas,"3,80","0,04","5,29",0,"20,49",12.110,5.688,MWH
TUSD - Programa de Incentivo às Fontes Alternativas,"2,94","3,31","2,45",0,"7,70",13.052,3.675,MWH
TE - Encargos do Serviço,"2,80","0,09","3,43",0,"13,75",12.438,6.125,MWH
TUSD_CCC,"2,05","0,00","3,15",0,"9,44",12.590,8.510,MWH
TUSD - Conta de Desenvolvimento Energético,"1,52","0,66","1,94",0,"8,98",10.918,3.449,MWH
TE - Perdas na Rede Básica,"1,31","0,00","1,70",0,"7,01",13.596,7.755,MWH
TE - Pesquisa e Desenvolvimento,"0,86","0,87","0,87",0,"3,82",13.662,5.916,MWH
TE - Transmissão de Itaipu,"0,53","0,00","0,84",0,"3,05",13.194,7.969,MWH
TUSD - Pesquisa e Desenvolvimento,"0,47","0,00","0,67",0,"2,63",13.182,8.038,MWH
TUSD_PNT,"0,34","0,00","0,59",0,"2,68",11.454,6.580,MWH
TUSD - Rede Básica,"0,31","0,00","0,92",0,"5,08",10.887,9.018,MWH
TE - Transporte de Itaipu,"0,23","0,00","0,44",0,"1,87",12.193,8.035,MWH
TUSD - Taxa de Fiscalização,"0,19","0,00","0,27",0,"1,09",13.213,8.038,MWH
TUSD_Per_RB_D,"0,05","0,00","0,09",0,"0,36",12.339,9.490,MWH
TE BENEFICIO_L14299,"0,00","0,00","0,00",0,"0,00",13.662,13.662,MWH
TE_CDE_COVID,"0,00","0,00","0,00",0,"0,00",13.662,13.662,MWH
TE_CDE_ELET,"0,00","0,00","0,00",0,"0,00",13.662,13.662,MWH
TE_CDE_GD,"0,00","0,00","0,00",0,"0,00",13.662,13.662,MWH
TE_CFURH,"0,00","0,00","0,00",0,"0,00",13.348,13.348,MWH
TE_Liminar,"0,00","0,00","0,00",0,"0,00",13.662,13.662,MWH
TE_SUBSIDIO,"0,00","0,00","0,00",0,"0,00",10.305,10.305,MWH
TE_TUST_CI,"0,00","0,00","0,00",0,"0,00",13.380,13.380,MWH
TUSD - Contratação da Transmissão,"0,00","0,00","0,00",0,"0,00",10.396,10.396,MWH
TUSD - Custo do Uso,"0,00","0,00","0,00",0,"0,00",10.952,10.952,MWH
TUSD - Fator de Rateio,"0,00","0,00","0,00",0,"0,00",10.396,10.396,MWH
TUSD - Operador Nacional do Sistema,"0,00","0,00","0,00",0,"0,00",10.366,10.366,MWH
TUSD BENEFICIO_L14299,"0,00","0,00","0,00",0,"0,00",13.662,13.662,MWH
TUSDG_ONS,"0,00","0,00","0,00",0,"0,00",13.662,13.662,MWH
TUSDG_T,"0,00","0,00","0,00",0,"0,00",13.662,13.662,MWH
TUSD_CCD,"0,00","0,00","0,00",0,"0,00",13.662,13.662,MWH
TUSD_CDE_COVID,"0,00","0,00","0,00",0,"0,00",13.662,13.662,MWH
TUSD_Liminar,"0,00","0,00","0,00",0,"0,00",13.662,13.662,MWH
TUSD_OUTROS,"0,00","0,00","0,00",0,"0,00",11.700,11.700,MWH
TUSD_RGR,"0,00","0,00","0,00",0,"0,00",10.856,10.856,MWH
TUSD_RI,"0,00","0,00","0,00",0,"0,00",13.662,13.662,MWH
TUSD_SUBSIDIO,"0,00","0,00","0,00",0,"0,00",9.979,9.979,MWH
